# Bronze Quick pitchers | coverage 2026-06-28 to 2026-07-12 | 252 of 891 Bronze Quick tournaments | top 100 by IP
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Bob Miller	69	0	R	20122.7	0.883	5.26	3.86	3.55	0.302	6.53	2.63	0.60	0.293
Satchel Paige	68	0	R	14974.3	0.468	3.46	3.91	3.64	0.303	8.37	3.00	0.73	0.302
Bob Miller	69	0	L	10691	0.007	1.55	3.36	3.04	0.292	5.37	2.18	0.55	0.284
Dave Stieb	65	5	R	9581	0.999	6.43	3.84	3.53	0.298	6.84	2.33	0.95	0.273
Frank Viola	69	0	L	9457.3	0.709	4.95	4.21	3.86	0.313	5.45	2.69	0.84	0.284
Dave Stieb	65	0	R	8764.3	0.652	4.74	4.22	3.93	0.313	6.54	2.59	1.03	0.282
Satchel Paige	68	5	R	8274	0.998	5.52	3.67	3.46	0.292	8.62	2.66	0.71	0.295
Rick Mahler	69	0	R	7910	0.883	5.55	4.31	3.98	0.319	6.60	2.38	0.92	0.303
Steve Trout	68	0	L	7788.3	0.642	4.88	3.71	3.35	0.299	6.51	2.13	0.59	0.299
Jack Harshman	69	0	L	6220.7	0.622	4.07	4.39	4.09	0.319	8.27	4.41	0.72	0.308
Dick Lines	69	0	L	5827	0.021	1.28	3.32	3.05	0.293	6.19	2.61	0.73	0.278
Mike Marshall	57	0	R	5148.3	0.028	1.66	3.54	3.25	0.301	7.60	2.97	0.63	0.298
Adam Cimber	69	0	R	4968	0.000	1.18	3.82	3.50	0.310	6.68	3.65	0.59	0.298
Rick Mahler	69	5	R	4861.3	0.985	6.23	4.00	3.73	0.304	6.85	2.15	0.84	0.290
Steve Barber	69	0	L	4668.3	0.776	4.73	4.23	3.94	0.315	6.74	3.03	0.88	0.292
Jim Deshaies	67	0	L	3777.3	0.647	4.36	4.01	3.73	0.307	6.96	2.66	0.95	0.285
Eric Plunk	69	0	R	3375.7	0.006	1.21	3.76	3.52	0.305	8.47	3.25	0.94	0.292
Chien-Ming Wang	68	0	R	3307.3	0.525	3.86	4.32	3.99	0.321	2.30	1.41	0.65	0.292
Jack Harshman	69	5	L	3199.7	0.546	4.70	3.77	3.52	0.295	8.65	4.05	0.59	0.291
Frank Lary	67	0	R	3103	0.708	4.84	4.22	3.94	0.313	5.75	1.73	0.91	0.294
Carl Lundgren	64	5	R	2699.7	0.806	5.40	3.93	3.67	0.305	6.31	2.43	0.81	0.287
Tanner McDougal	66	0	R	2594.7	0.511	3.54	4.21	3.90	0.310	8.81	3.69	0.89	0.294
Bob Miller	69	0	R	2457.7	0.539	4.12	4.28	3.93	0.317	3.27	1.63	0.67	0.291
Jack Meyer	69	0	R	2283	0.000	1.45	2.87	2.63	0.277	9.26	2.68	0.71	0.283
Chris Short	65	5	L	2275.3	0.850	4.96	4.00	3.67	0.300	7.96	2.67	0.93	0.287
Milo Candini	67	0	R	2161.3	0.561	3.86	4.34	4.06	0.320	5.08	3.09	0.75	0.287
Ken Sanders	68	0	R	2071	0.000	1.22	3.99	3.70	0.313	3.24	1.81	1.00	0.267
Stan Williams	69	0	R	1736.3	0.311	2.55	4.31	4.00	0.323	9.10	3.07	1.69	0.268
Frank Viola	69	5	L	1722.7	0.967	6.24	3.95	3.50	0.295	5.81	2.28	0.76	0.273
Joe Mays	64	5	R	1684.3	1.000	6.40	3.72	3.47	0.298	4.85	2.13	0.91	0.259
Clay Bryant	66	0	R	1683	0.000	1.28	3.64	3.38	0.309	8.39	2.76	0.79	0.314
Marshall Bridges	65	0	L	1678.3	0.000	1.28	3.56	3.27	0.297	8.73	4.40	0.74	0.280
Jose Rijo	69	0	R	1614	0.605	4.25	4.39	3.92	0.321	7.54	2.88	1.03	0.299
Darrell May	60	0	L	1562.3	0.138	2.05	4.31	4.08	0.322	7.02	1.96	1.52	0.278
Jim Weaver	69	0	R	1535.7	0.908	5.43	4.66	4.43	0.330	7.57	3.18	1.22	0.291
Kenta Maeda	69	0	R	1518	0.670	4.48	4.62	4.33	0.331	6.68	2.55	1.38	0.286
Johnny Wright	68	5	R	1453	0.935	5.86	4.43	4.18	0.316	6.25	1.86	1.28	0.277
Steve Barber	69	5	L	1425	1.000	5.77	3.99	3.57	0.308	6.79	2.76	0.76	0.297
Willie McGill	69	0	L	1404.3	0.409	3.55	3.88	3.70	0.307	8.12	3.29	0.87	0.295
Johnny Antonelli	67	0	L	1395	0.823	5.26	4.02	3.77	0.309	7.59	2.88	1.30	0.267
Willie McGill	69	5	L	1374.7	0.511	3.84	4.10	3.66	0.308	8.65	3.12	0.91	0.302
Johnny Wright	68	0	R	1354.7	0.829	5.25	4.54	4.24	0.337	5.39	2.02	1.37	0.286
Trey Gibson	67	5	R	1332.7	0.901	5.29	3.92	3.67	0.303	8.07	2.50	0.92	0.294
Tom Williams	68	5	R	1215.7	1.000	6.11	4.07	3.72	0.305	4.64	1.50	0.98	0.274
Sean Burke	69	0	R	1182.7	1.000	6.10	4.79	4.41	0.327	7.55	2.66	1.26	0.295
Ted Trent	69	0	R	1180	0.761	5.32	4.65	4.31	0.329	5.97	2.21	1.16	0.291
Huascar Brazoban	69	0	R	1111.7	0.000	1.26	3.24	2.99	0.294	7.35	2.68	0.78	0.282
Tommy John	66	0	L	1075.7	0.618	4.37	4.75	4.34	0.336	3.70	2.08	0.88	0.304
Mitch Williams	64	0	L	1070.7	0.000	1.26	3.14	2.91	0.282	9.23	5.15	0.54	0.268
Tully Sparks	68	5	R	1059.3	1.000	6.12	3.94	3.64	0.298	5.70	1.76	0.97	0.268
Jim Todd	68	0	R	1053.7	0.000	1.25	3.92	3.66	0.318	4.79	2.43	0.85	0.286
Joe Mays	64	0	R	1050.3	0.245	2.74	3.91	3.63	0.312	4.17	2.31	1.00	0.266
Eric Plunk	69	5	R	1040	0.117	1.24	3.34	3.12	0.289	9.02	2.78	0.76	0.289
Ted Trent	69	5	R	997.3	0.970	5.97	4.21	4.02	0.319	6.26	1.96	1.07	0.291
Dutch Leonard	69	0	R	976	0.659	4.63	4.53	4.19	0.330	4.58	1.91	1.18	0.285
Winston Santos	65	0	R	966.3	0.000	1.44	3.79	3.55	0.310	8.02	3.16	1.00	0.290
Ben McDonald	68	5	R	958.3	1.000	5.95	4.00	3.75	0.305	7.48	2.89	1.00	0.281
Johnny Antonelli	67	5	L	957.7	0.993	6.38	3.88	3.67	0.293	7.71	2.29	1.04	0.274
Eric Milton	69	0	L	941	0.562	4.00	4.94	4.59	0.335	6.50	2.09	1.47	0.292
Tully Sparks	68	0	R	932	0.942	6.01	4.45	4.24	0.320	4.86	1.77	1.21	0.277
Bob Miller	69	0	R	932	0.005	1.53	3.40	3.16	0.298	5.32	2.65	0.57	0.281
Aroldis Chapman	68	0	L	916	0.000	1.17	4.24	3.83	0.311	9.88	4.86	0.73	0.314
Hal Woodeshick	66	0	L	909	0.533	3.54	4.43	4.07	0.321	5.87	2.94	0.59	0.311
Jose Rijo	69	5	R	889	0.915	5.42	4.47	4.17	0.319	8.27	2.35	1.14	0.304
Milo Candini	67	5	R	870.3	1.000	6.13	4.48	4.12	0.309	5.31	2.98	0.69	0.280
Kirby Yates	69	0	R	831	0.001	1.18	3.36	3.00	0.286	7.91	2.74	0.86	0.273
Eric Milton	69	5	L	809	1.000	6.27	4.44	4.23	0.325	7.42	2.07	1.35	0.294
Joe Krakauskas	57	0	L	779	0.769	4.28	3.81	3.48	0.295	9.27	5.58	0.70	0.262
DL Hall	69	0	L	744.7	0.277	2.24	4.44	4.23	0.325	7.37	3.66	0.94	0.299
Tom Williams	68	0	R	740	0.834	5.10	5.33	4.80	0.338	4.49	1.95	1.23	0.289
Ben McDonald	68	0	R	700	0.789	5.26	4.06	3.68	0.309	7.12	3.19	0.95	0.274
Jim Bouton	64	0	R	692	0.503	4.25	3.54	3.23	0.306	5.44	2.63	1.03	0.261
Burleigh Grimes	69	0	R	688.7	0.479	3.55	4.68	4.36	0.339	7.95	2.82	1.36	0.310
Al Grabowski	69	0	L	687.3	0.506	3.95	4.40	4.09	0.321	7.28	2.06	1.19	0.302
Andre Pallante	69	0	R	621.7	0.894	5.50	4.46	4.08	0.314	6.12	2.40	0.85	0.298
Chris Short	65	0	L	616.3	0.958	5.18	4.75	4.34	0.324	7.24	3.08	1.08	0.299
Patrick Sandoval	69	0	L	595	0.268	2.58	4.31	3.98	0.315	7.22	2.96	0.91	0.304
Clay Bryant	66	5	R	590.7	0.000	1.28	3.49	3.28	0.295	8.82	2.42	0.91	0.294
Greg Swindell	63	0	L	578	0.000	0.90	3.13	2.97	0.290	7.77	1.57	0.97	0.288
Joe Niekro	66	0	R	576	0.524	4.03	5.11	4.84	0.341	4.52	2.83	1.19	0.290
Chuck Stobbs	67	0	L	575.3	0.700	4.79	4.49	4.22	0.328	4.71	2.88	0.66	0.301
Clay Carroll	65	5	R	553	0.000	1.18	3.66	3.40	0.304	5.40	2.10	0.52	0.301
Adam Cimber	69	5	R	546.7	0.000	1.18	3.69	3.44	0.307	7.52	3.42	0.66	0.299
Jake Bloss	67	5	R	543.7	0.642	4.53	4.22	4.02	0.306	7.27	2.12	0.88	0.294
Heathcliff Slocumb	64	0	R	540.7	0.000	1.10	3.75	3.36	0.302	8.62	4.79	0.62	0.290
Wayne Twitchell	60	0	R	536.7	0.693	4.23	3.76	3.49	0.301	7.03	3.25	0.84	0.268
Jose Lima	69	0	R	493.7	0.467	4.11	4.08	3.76	0.311	7.47	1.48	1.11	0.300
Larry Corcoran	68	0	R	490.7	0.279	2.74	3.32	3.15	0.292	7.54	3.52	0.81	0.270
JoJo Romero	69	0	L	488.3	0.002	0.86	3.50	3.26	0.299	7.72	2.43	0.87	0.295
Brock Stewart	69	0	R	487	0.005	1.20	3.71	3.42	0.306	7.84	2.53	1.03	0.290
Al Grabowski	69	5	L	486	1.000	6.39	3.69	3.31	0.298	7.56	2.37	0.81	0.289
Ian Seymour	69	0	L	483.3	0.740	3.31	4.84	4.45	0.330	6.82	2.46	1.10	0.312
Pretzels Getzien	64	5	R	482.7	1.000	6.70	3.49	3.28	0.298	6.97	1.23	0.82	0.299
Evan Sisk	68	0	L	472	0.000	1.33	3.39	3.26	0.291	8.58	2.27	0.99	0.290
Blake Treinen	69	0	R	469	0.002	1.06	3.24	2.90	0.289	8.12	2.74	0.67	0.291
Roy Face	66	0	R	464.3	0.000	1.44	3.70	3.49	0.297	6.63	1.65	0.83	0.287
Greg Maddux	62	0	R	455	0.230	2.83	3.86	3.48	0.307	6.73	2.79	0.75	0.297
Jim Deshaies	67	5	L	450.7	1.000	6.53	3.53	3.10	0.284	7.33	2.88	0.64	0.269
Whitey Ford	67	0	L	450	0.165	2.39	3.42	3.16	0.300	5.94	2.42	1.00	0.268
Tim Herrin	59	0	L	445.3	0.000	1.29	2.93	2.79	0.289	8.21	3.15	0.73	0.286
