# Bronze Heart Daily pitchers | 2026-06-29 to 2026-07-09 | 7 of 32 tournaments | top 100 by IP (dropdown name "Bronze Heart")
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Johnny Wright	68	0	R	2673	0.782	6.39	4.16	3.53	0.311	3.16	2.11	0.55	0.278
Frank Lary	67	0	R	2232.7	0.964	7.30	4.55	3.76	0.324	3.34	1.81	0.50	0.297
Steve Barber	69	0	L	2185.7	0.944	6.85	3.90	3.08	0.307	4.16	2.95	0.33	0.285
Ted Trent	69	0	R	1990.7	0.874	7.16	4.05	3.35	0.314	3.45	2.22	0.42	0.289
Bob Miller	69	0	R	1900	0.952	7.06	3.87	3.22	0.306	3.63	2.56	0.23	0.286
Jim Weaver	69	0	R	1805.3	0.992	7.22	4.57	3.75	0.324	4.87	3.40	0.58	0.289
Satchel Paige	68	0	R	1696.3	0.399	3.66	3.95	3.42	0.315	5.19	2.99	0.31	0.302
Lon Warneke	69	0	R	1449	0.914	7.32	4.66	4.16	0.332	3.17	1.98	0.81	0.287
Stan Williams	69	0	R	1348.3	0.723	5.05	4.81	4.11	0.334	5.22	3.42	0.93	0.282
Dutch Leonard	69	0	R	1332	0.903	7.61	4.44	3.76	0.321	2.57	1.96	0.53	0.283
Rick Mahler	69	0	R	1312	0.670	5.78	4.21	3.48	0.322	3.73	2.73	0.37	0.298
Dave Stieb	65	0	R	1229	0.731	6.61	3.93	3.13	0.313	3.82	2.54	0.59	0.279
Bob Miller	69	0	L	1078.3	0.071	1.83	3.77	2.91	0.310	2.74	2.30	0.25	0.291
Steve Barber	69	5	L	996.7	1.000	7.12	3.96	3.27	0.304	4.31	3.01	0.34	0.278
Dick Lines	69	0	L	943	0.000	1.43	3.56	2.87	0.310	3.41	2.75	0.42	0.284
Dave Stieb	65	5	R	932	1.000	8.10	4.08	3.37	0.303	3.83	2.23	0.48	0.274
Jim Bouton	64	0	R	790	0.622	5.85	4.00	3.26	0.302	3.37	2.98	0.47	0.264
Dave Roberts	68	0	L	758	0.574	4.89	4.18	3.47	0.319	4.00	1.73	0.49	0.303
Al Hollingsworth	69	0	L	738.7	0.657	5.51	4.56	3.89	0.330	4.33	2.73	0.37	0.311
Satchel Paige	68	5	R	723.3	0.904	6.34	3.71	3.12	0.297	5.00	2.44	0.29	0.282
Milo Candini	67	0	R	714.3	0.956	6.27	4.79	3.91	0.331	3.19	3.25	0.31	0.297
Jim Deshaies	67	0	L	683.3	0.523	4.53	4.33	3.87	0.323	3.71	2.96	0.50	0.289
Johnny Antonelli	67	5	L	570	1.000	8.38	3.57	3.17	0.294	4.83	2.43	0.63	0.258
Bob Miller	69	0	R	564.3	0.692	5.43	4.51	3.72	0.333	1.95	1.91	0.37	0.302
Johnny Wright	68	5	R	546	1.000	8.15	3.66	2.93	0.285	3.43	1.70	0.38	0.261
Whitey Ford	67	0	L	515.3	0.667	5.92	4.07	3.34	0.321	3.49	2.06	0.45	0.297
Jack Harshman	69	0	L	510.3	0.252	3.29	3.86	3.35	0.309	4.50	4.67	0.28	0.272
Rick Mahler	69	5	R	507.3	1.000	8.05	3.65	3.07	0.307	3.80	2.25	0.34	0.286
Tommy John	66	0	L	450.7	0.367	3.76	5.25	4.29	0.337	2.34	2.70	0.42	0.301
Joe Niekro	66	5	R	432.7	0.846	6.66	4.83	3.91	0.329	3.37	2.27	0.52	0.297
Chris Short	65	5	L	424.7	1.000	7.58	4.03	3.14	0.299	4.62	2.56	0.23	0.293
Ed Holley	69	0	R	416	0.478	4.52	4.65	3.81	0.337	3.74	2.10	0.69	0.304
Steve Trout	68	0	L	397.3	0.793	6.85	3.53	2.49	0.307	3.72	2.38	0.29	0.290
Whit Wyatt	68	0	R	389.3	0.706	5.73	4.99	4.25	0.339	4.12	3.12	0.44	0.313
Chuck Stobbs	67	0	L	384.7	0.547	5.13	4.02	3.21	0.311	2.78	2.69	0.26	0.281
Roy Welmaker	68	0	L	370.3	0.597	5.14	4.35	3.57	0.318	3.74	2.92	0.44	0.288
Johnny Antonelli	67	0	L	354	0.878	7.22	3.76	3.38	0.307	4.04	2.97	0.56	0.266
Ken Sanders	68	0	R	344	0.000	1.42	3.82	3.09	0.317	1.36	1.96	0.29	0.292
Jim Todd	68	0	R	328	0.037	1.52	3.87	2.99	0.318	2.58	2.72	0.27	0.288
Henry McHenry	66	5	R	271.7	0.889	7.55	3.38	2.82	0.297	3.28	1.89	0.23	0.281
Arnold Carter	63	0	L	248	0.775	6.20	4.28	3.59	0.316	2.18	2.58	0.51	0.273
Milo Candini	67	5	R	233	0.551	4.76	4.48	3.67	0.316	3.67	2.67	0.31	0.300
Dave Boswell	67	0	R	208.3	0.694	5.79	5.23	4.15	0.346	5.57	4.02	0.86	0.298
Dutch Leonard	69	5	R	202	0.553	5.32	4.32	3.52	0.316	3.07	2.18	0.45	0.291
Ken Sanders	68	5	R	198	0.000	1.56	3.41	2.68	0.282	2.45	1.45	0.45	0.257
Hal Woodeshick	66	0	L	197.7	0.833	6.59	3.51	2.87	0.301	3.46	2.73	0.23	0.280
Jim Deshaies	67	5	L	192	1.000	8.00	3.38	2.81	0.284	4.17	2.53	0.33	0.254
Ted Trent	69	5	R	170.3	0.636	5.16	3.33	2.59	0.276	3.75	1.53	0.26	0.264
Jack Harshman	69	5	L	169.7	0.383	3.61	3.77	2.97	0.312	5.09	4.45	0.27	0.283
Roy Face	66	0	R	165	0.000	1.54	3.60	3.33	0.306	3.49	1.69	0.55	0.278
Bob Kuzava	68	0	L	163.7	0.581	5.28	5.44	4.29	0.336	4.23	2.86	0.33	0.311
Whitey Ford	67	5	L	161.3	0.294	3.16	4.74	4.30	0.353	4.46	2.23	0.73	0.325
Al Hollingsworth	69	5	L	155.7	1.000	7.78	3.76	3.24	0.312	4.51	2.83	0.46	0.289
Tommy John	66	5	L	155.3	0.556	5.75	4.35	3.54	0.320	2.84	1.62	0.35	0.302
Dick Lines	69	5	L	155.3	0.000	1.37	3.54	2.49	0.312	3.94	2.26	0.17	0.316
Dave Rozema	63	0	R	149.7	0.531	4.68	5.29	4.33	0.337	2.71	2.04	0.60	0.306
Harry Brecheen	67	0	L	144.3	0.286	3.44	3.43	2.68	0.283	2.56	2.37	0.50	0.241
Joe Niekro	66	0	R	141	0.516	4.55	6.70	5.11	0.371	3.19	3.26	0.57	0.338
Bill Wight	61	0	L	136	0.950	6.80	5.10	3.90	0.331	2.65	2.71	0.33	0.301
Roy Welmaker	68	5	L	135	1.000	7.94	3.20	2.73	0.285	3.67	2.73	0.33	0.251
Marshall Bridges	65	0	L	133.3	0.000	1.32	4.73	3.98	0.341	5.67	4.73	0.34	0.323
Floyd Bannister	57	0	L	131	1.000	7.28	5.63	4.47	0.355	2.89	1.58	0.62	0.324
Greg Maddux	62	0	R	131	0.462	5.04	4.81	3.50	0.336	3.09	2.95	0.27	0.315
Jerry Garvin	67	0	L	126	0.000	1.50	3.14	1.93	0.292	3.79	2.43	0.29	0.276
Chuck Stobbs	67	5	L	123.7	0.875	7.73	3.06	2.26	0.299	3.42	2.62	0.29	0.271
Eddie Smith	67	5	L	120	1.000	7.50	5.03	3.98	0.339	4.50	3.15	0.60	0.303
Bob Miller	69	0	R	113	0.000	1.53	5.18	4.70	0.372	3.74	3.19	0.32	0.352
Hal Woodeshick	66	5	L	109.3	1.000	6.83	5.68	4.61	0.329	4.28	2.63	0.25	0.322
Lew Burdette	60	0	R	109	0.478	4.74	7.02	5.53	0.390	2.97	1.73	1.57	0.320
Jim Todd	68	5	R	95	0.000	1.70	3.79	2.84	0.304	2.84	2.75	0.47	0.274
Bob Buhl	50	0	R	89.3	1.000	8.12	4.74	3.12	0.312	3.63	3.02	0.20	0.284
Steve Stone	61	0	R	89	1.000	6.85	6.17	4.65	0.383	4.25	6.07	1.01	0.304
Ed Holley	69	1	R	87.3	1.000	8.73	3.51	2.99	0.317	3.51	1.86	0.82	0.267
Marshall Bridges	65	5	L	86.7	0.000	1.22	3.94	3.84	0.314	4.36	5.40	0.52	0.261
Clay Carroll	65	5	R	80.7	0.000	1.20	2.68	2.23	0.296	3.68	2.45	0.22	0.291
Rip Sewell	63	0	R	80.3	1.000	8.03	4.82	3.36	0.322	3.70	2.02	0.56	0.296
Elmer Singleton	67	0	R	74	0.000	1.54	4.74	4.26	0.349	3.65	2.43	0.61	0.343
Bob Romby	58	0	L	71.3	0.075	1.78	3.41	2.40	0.327	5.68	4.29	0.88	0.262
Claude Osteen	64	0	L	68	0.000	1.66	4.37	3.18	0.342	1.99	2.91	0.66	0.301
Ed Whitson	64	0	R	66.3	1.000	7.37	5.29	3.80	0.365	2.71	3.12	0.95	0.296
Henry McHenry	66	0	R	65.3	0.389	3.63	6.48	6.20	0.364	3.58	1.65	0.55	0.344
Jack Meyer	69	0	R	65.3	0.000	1.31	4.69	4.00	0.346	3.72	3.72	0.41	0.318
Mike Marshall	57	0	R	63.7	0.429	3.03	5.65	5.23	0.360	3.25	3.81	0.42	0.338
Eddie Smith	67	0	L	63.3	0.080	2.53	4.41	4.27	0.327	5.26	2.84	0.28	0.326
Roy Face	66	5	R	60.3	0.000	1.16	5.67	4.63	0.388	3.43	1.49	0.90	0.352
Clay Bryant	66	0	R	60	0.000	1.22	5.40	5.25	0.379	4.20	3.75	0.45	0.357
Jesse Houston	67	0	R	59.3	0.429	4.24	4.10	3.95	0.335	2.88	1.82	0.76	0.299
Chris Short	65	0	L	58.7	0.353	3.45	4.91	4.29	0.339	3.99	3.68	0.77	0.280
Whit Wyatt	68	5	R	58.3	0.357	4.16	2.47	2.16	0.283	5.56	1.85	0.00	0.304
Bill Campbell	64	0	R	54.7	0.000	1.48	2.80	2.80	0.271	4.44	2.47	0.16	0.266
Britt Burns	67	0	L	54	0.200	2.70	2.50	2.00	0.259	4.83	3.00	0.00	0.263
Dale Murray	66	0	R	53.3	0.000	1.44	3.38	2.36	0.326	4.39	3.04	0.17	0.323
Mike Fornieles	67	0	R	52	1.000	7.43	4.33	3.63	0.317	4.33	2.60	0.35	0.306
Jerry Staley	66	0	R	51.7	0.615	3.98	6.44	5.74	0.411	3.48	2.61	1.74	0.347
Jack Kralick	64	0	L	49	0.111	2.72	3.49	3.49	0.299	4.59	2.20	0.73	0.262
Chuck Stobbs	67	1	L	48	1.000	6.86	4.88	4.50	0.353	3.19	3.19	0.38	0.326
Harry Brecheen	67	5	L	46.7	1.000	7.78	4.43	4.43	0.311	4.43	2.12	0.19	0.306
Mike Armstrong	60	0	R	46.3	0.000	1.65	5.05	4.47	0.368	5.05	4.28	0.78	0.341
Ed Holley	69	5	R	44	0.267	2.93	6.55	5.93	0.383	4.30	2.45	0.82	0.367
Sparky Lyle	51	0	L	43.7	0.000	0.91	4.12	3.30	0.328	3.71	1.85	0.82	0.302
