# Early Gold Daily pitchers | 2026-06-28 to 2026-07-12 | 13 of 56 tournaments | top 100 by IP (dropdown name "Early Gold")
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Old Hoss Radbourn	89	0	R	17403.7	1.000	8.29	3.86	3.17	0.309	3.07	2.27	0.30	0.278
Dave Brown	89	0	L	6452.3	0.921	7.49	4.52	3.75	0.329	3.68	2.66	0.22	0.307
Warren Spahn	84	0	L	5954.7	0.858	7.34	4.00	3.26	0.314	2.12	2.18	0.23	0.283
Dock Ellis	85	0	R	4722.3	0.892	7.28	3.95	3.19	0.310	2.96	2.71	0.16	0.281
Hilton Smith	88	0	R	4542.7	0.854	7.04	4.40	3.56	0.325	1.37	1.91	0.17	0.292
Satchel Paige	87	0	R	4038	0.777	6.39	4.11	3.38	0.320	3.62	2.19	0.24	0.299
Tom Cheney	78	0	R	3990	0.686	6.14	3.83	3.22	0.309	2.90	1.90	0.33	0.278
Old Hoss Radbourn	89	5	R	3491.3	1.000	8.27	3.59	2.97	0.302	3.15	1.91	0.25	0.276
Teddy Higuera	89	0	L	2797.3	0.916	7.56	4.26	3.59	0.324	3.71	2.76	0.28	0.297
Elmer Rodriguez	89	0	R	2676.3	0.904	6.93	4.52	3.85	0.332	3.34	3.71	0.16	0.299
Madison Bumgarner	88	0	L	2617.7	0.873	7.07	4.68	3.93	0.333	3.55	2.00	0.30	0.314
Mark Fidrych	84	0	R	2215.3	0.945	7.64	4.18	3.39	0.312	2.16	1.71	0.16	0.289
Steve Ontiveros	82	0	R	2014.7	0.938	7.30	4.54	3.54	0.328	1.93	1.99	0.31	0.293
Mark Buehrle	84	0	L	1950.7	0.826	6.92	4.10	3.41	0.315	2.30	2.01	0.23	0.289
Tiny Bonham	82	5	R	1867.7	0.957	8.02	3.94	3.37	0.316	2.63	1.27	0.31	0.292
Tiny Bonham	82	0	R	1781.7	0.667	6.00	3.80	3.32	0.316	2.40	1.49	0.34	0.288
Ben Brown	89	0	R	1519.7	0.995	7.75	4.54	3.96	0.332	3.28	2.32	0.23	0.310
Michael Soroka	89	0	R	1413.7	0.978	7.64	4.31	3.65	0.325	3.05	2.50	0.23	0.297
Brandon Sproat	88	0	R	1385	0.792	6.41	3.96	3.17	0.312	3.28	2.72	0.19	0.285
Madison Bumgarner	88	5	L	1348	0.832	7.33	3.67	3.08	0.306	3.39	1.68	0.17	0.294
Jim Kaat	87	0	L	1337	0.665	5.74	4.60	3.91	0.330	3.65	1.80	0.18	0.318
John Donaldson	89	0	L	1193.7	0.936	7.60	4.51	3.84	0.337	3.78	2.01	0.19	0.326
Bob Veale	89	0	L	1102.3	0.869	6.89	5.09	4.29	0.348	3.22	4.20	0.20	0.310
Mario Soto	83	0	R	1046.7	0.715	6.34	3.79	3.21	0.312	3.97	2.72	0.38	0.277
Clay Holmes	89	0	R	949	0.855	7.24	4.36	3.65	0.332	2.81	2.52	0.23	0.304
Dave Stieb	89	0	R	922.3	0.864	6.99	4.06	3.42	0.321	3.24	2.11	0.18	0.300
Jack Kramer	89	0	R	894	0.832	7.15	4.26	3.63	0.327	3.38	2.93	0.19	0.304
Tom Cheney	78	5	R	770.3	0.890	7.07	3.80	3.08	0.311	3.22	1.99	0.36	0.277
Jesse Barnes	88	0	R	729.7	0.795	6.52	5.18	4.40	0.338	2.08	1.81	0.16	0.316
George Zettlein	87	0	R	700.3	0.800	7.00	4.43	3.88	0.325	3.03	1.59	0.51	0.290
Rhett Lowder	87	0	R	614.7	0.824	7.23	3.94	3.09	0.312	3.41	2.05	0.22	0.295
Steve Ontiveros	82	5	R	574.3	0.909	7.46	4.04	3.34	0.311	2.15	1.80	0.38	0.273
Mario Soto	83	5	R	458	1.000	8.18	3.69	3.09	0.312	3.75	2.10	0.33	0.285
A.J. Burnett	86	0	R	451.7	0.983	7.66	5.08	4.38	0.337	3.29	4.02	0.18	0.300
Phil Niekro	86	5	R	451	1.000	7.91	4.33	3.61	0.322	3.27	1.60	0.36	0.296
Walter Johnson	86	0	R	439.3	0.627	5.86	3.99	3.42	0.324	3.36	2.38	0.20	0.304
Sonny Gray	88	0	R	414.3	0.893	7.40	4.11	3.48	0.317	3.11	2.67	0.20	0.285
Tony Watson	87	0	L	402.3	0.000	1.30	3.69	2.89	0.316	3.09	2.89	0.20	0.290
Elmer Rodriguez	89	5	R	402	0.926	7.44	3.85	3.18	0.315	3.65	2.89	0.16	0.297
Chris Hammond	89	0	L	399	0.000	1.44	3.81	2.98	0.319	3.54	3.61	0.16	0.293
Max Manning	87	0	R	386.7	0.962	7.44	4.19	3.47	0.326	2.96	2.75	0.21	0.301
Dylan Lee	89	0	L	381.3	0.000	1.38	3.28	2.64	0.302	4.34	2.22	0.21	0.297
Hod Eller	86	0	R	381	0.427	4.28	3.99	3.28	0.334	3.92	2.06	0.09	0.319
Jim Brewer	78	0	L	369.3	0.000	1.48	3.78	2.95	0.319	3.27	2.10	0.39	0.298
Jake Peavy	83	5	R	354	0.712	6.00	5.16	4.12	0.353	4.12	2.87	0.20	0.331
Jesse Barnes	88	5	R	352.3	0.976	8.39	3.86	3.27	0.309	2.22	1.12	0.23	0.286
Luke Hamlin	84	0	R	338.7	1.000	7.36	4.97	3.91	0.350	3.59	2.18	0.43	0.330
Shane Reynolds	81	5	R	336	0.911	7.47	4.85	4.26	0.340	2.76	1.66	0.13	0.323
Adrian Morejon	89	0	L	334	0.000	1.34	3.48	2.94	0.329	3.42	2.40	0.11	0.319
Ed Walsh	87	0	R	331	0.714	5.91	4.35	3.62	0.333	4.32	2.39	0.27	0.323
Nolan McLean	87	0	R	328	0.953	7.63	3.40	2.99	0.296	3.87	3.10	0.16	0.272
Teddy Higuera	89	5	L	320.3	0.525	5.25	3.46	2.95	0.298	3.93	3.03	0.11	0.280
Steve Hamilton	89	0	L	311.3	0.000	1.31	4.02	3.12	0.350	3.24	2.80	0.29	0.331
Rynie Wolters	79	0	R	297.7	0.841	6.77	4.32	3.57	0.325	2.48	2.18	0.39	0.281
Pat Neshek	85	0	R	295.7	0.000	1.41	3.26	2.77	0.307	4.23	1.61	0.37	0.292
Max Manning	87	5	R	293	0.921	7.71	3.90	3.01	0.325	3.44	2.80	0.22	0.300
River Ryan	84	5	R	281.7	0.929	6.71	3.67	3.07	0.302	3.61	2.01	0.13	0.288
Sean Newcomb	89	0	L	267.3	0.355	2.87	5.49	4.68	0.352	2.96	3.03	0.20	0.322
Ed Walsh	87	5	R	261	0.968	8.42	2.72	2.17	0.279	3.93	2.24	0.00	0.266
Julio Teheran	79	0	R	260.3	0.190	3.10	3.87	3.15	0.317	1.76	2.56	0.17	0.281
Rhett Lowder	87	5	R	253.7	0.879	7.69	3.37	2.73	0.308	3.26	1.67	0.21	0.295
Tom Niedenfuer	88	0	R	253.3	0.000	1.37	2.49	2.03	0.288	2.84	2.77	0.21	0.259
Jack Kramer	89	5	R	249.3	0.743	7.12	2.92	2.49	0.294	3.86	2.24	0.00	0.288
Julio Teheran	79	5	R	243.7	0.643	5.80	4.36	3.36	0.332	2.55	2.47	0.11	0.308
Herb Pennock	77	5	L	243	1.000	8.38	4.00	3.22	0.314	1.59	1.30	0.30	0.287
Hod Lisenbee	88	0	R	239	0.707	5.83	4.74	3.84	0.341	3.54	3.54	0.19	0.311
Leroy Matlock	86	0	L	239	1.000	7.47	3.95	3.54	0.324	2.90	1.88	0.23	0.302
Steve Rogers	85	0	R	226.3	0.818	6.86	3.74	2.94	0.318	3.70	2.11	0.16	0.309
Tyler Clippard	88	0	R	224.3	0.000	1.48	3.45	2.77	0.324	3.13	3.93	0.12	0.287
Mark Fidrych	84	5	R	222.7	1.000	8.25	3.48	2.59	0.297	1.90	1.74	0.12	0.268
Sandy Consuegra	85	0	R	218.7	0.265	3.22	4.94	4.20	0.357	1.93	1.81	0.08	0.331
Ken Forsch	87	0	R	206.7	0.871	6.67	4.70	3.79	0.328	2.35	1.87	0.17	0.301
Michael King	82	0	R	202	1.000	7.48	4.77	4.01	0.337	2.90	3.39	0.22	0.296
Carlos Zambrano	84	0	R	196	0.852	7.26	3.54	2.57	0.304	2.62	3.67	0.23	0.257
Griffin Jax	87	0	R	186.3	0.786	6.65	3.48	2.95	0.324	4.06	2.90	0.48	0.290
Bill Holland	87	0	R	184	0.733	6.13	5.92	5.09	0.368	3.52	2.54	0.24	0.356
Robert Suarez	89	0	R	179.7	0.000	1.52	3.71	3.01	0.306	3.66	1.80	0.30	0.285
Jake Peavy	83	0	R	179.7	0.435	3.91	5.16	3.96	0.340	3.21	2.35	0.15	0.321
Hunter Harvey	89	0	R	179	0.000	1.34	3.97	2.97	0.335	3.47	2.61	0.00	0.324
Luis Arroyo	84	0	L	174.7	0.000	1.48	3.76	2.78	0.324	3.25	2.83	0.21	0.305
Robby Snelling	81	0	L	173.3	0.913	7.53	5.30	4.41	0.342	3.48	3.17	0.31	0.304
Wally Bunker	82	5	R	172	0.020	1.70	3.45	3.03	0.320	1.62	2.93	0.16	0.277
Dave Brown	89	5	L	169.7	0.576	5.14	4.99	3.55	0.340	3.66	2.07	0.11	0.332
Preacher Roe	85	0	L	167	0.792	6.96	4.31	3.07	0.320	3.02	1.94	0.65	0.282
MacKenzie Gore	87	0	L	161.3	0.960	6.45	4.69	4.18	0.340	3.79	3.29	0.33	0.307
Shawn Armstrong	88	0	R	157	0.000	1.50	4.07	3.32	0.327	2.18	2.92	0.06	0.297
Mel Rojas	87	0	R	154.3	0.000	1.34	4.37	3.91	0.351	3.44	3.73	0.23	0.326
Nick Pivetta	84	0	R	150.7	0.750	6.28	3.94	3.46	0.340	3.52	2.69	0.12	0.328
Jim Kaat	87	5	L	149	1.000	8.28	4.59	3.74	0.313	3.93	1.51	0.24	0.301
Mariano Rivera	89	0	R	146.3	0.000	1.35	3.81	2.83	0.316	3.69	2.34	0.00	0.305
Hal Brown	84	0	R	144.7	1.000	8.51	3.73	2.92	0.323	2.18	1.80	0.12	0.313
Wally Bunker	82	0	R	143.7	0.000	2.76	4.70	3.70	0.341	1.69	3.13	0.25	0.294
Carlos Lagrange	84	0	R	143.3	0.012	1.67	3.20	2.83	0.301	3.33	4.33	0.06	0.254
George Zettlein	87	5	R	143	0.556	5.30	4.72	4.41	0.346	3.08	1.51	0.50	0.321
Jim McDonald	86	0	R	142	0.708	5.92	5.70	4.75	0.365	2.22	3.68	0.06	0.329
Nate Jones	85	0	R	136.3	0.000	1.47	3.96	2.71	0.314	4.29	1.85	0.20	0.317
Jonathan Broxton	85	0	R	133	0.000	1.93	4.53	3.45	0.318	4.60	3.59	0.07	0.304
Dan Bankhead	74	0	R	118.7	1.000	7.91	4.40	3.34	0.333	3.03	4.25	0.08	0.297
Robby Snelling	81	5	L	117	1.000	7.80	3.69	3.00	0.332	4.00	3.69	0.08	0.318
Framber Valdez	81	0	L	110.3	0.625	4.60	6.20	4.65	0.364	3.10	2.28	0.16	0.345
